,dsf_number_s_,final_estimate_of_actual_costs_through_end_of_phase_amount,project_budget_amount,project_building_identifier,project_description,project_geographic_district_,project_phase_actual_end_date,project_phase_actual_start_date,project_phase_name,project_phase_planned_end_date,project_school_name,project_status_name,project_type_,total_phase_actual_spending_amount,budget_label
11,DSF: 0000755394,16989,67490,K003,ELECTRICAL LIGHTING FIXTURES,13,2014-07-11 00:00:00,2014-05-02 00:00:00,Design,2014-09-02 00:00:00,P.S. 3 - BROOKLYN,Complete,RCT CIP,16989,1
12,DSF: 0000755394,5982,23820,K003,ELECTRICAL LIGHTING FIXTURES,13,2014-05-02 00:00:00,2014-05-02 00:00:00,Scope,2014-05-02 00:00:00,P.S. 3 - BROOKLYN,Complete,RCT CIP,5982,0
14,DSF: 0000755393,56401,119700,K003,FIRE ALARM,13,2015-07-28 00:00:00,2014-08-11 00:00:00,"CM, F&E",2015-08-10 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,56401,1
16,DSF: 0000755393,1779876,1923750,K003,FIRE ALARM,13,2015-07-28 00:00:00,2014-08-11 00:00:00,Construction,2015-08-10 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,1592297,2
17,"DSF: 0000798244, 0000798245",13890,332902,K003,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,13,2015-01-28 00:00:00,2014-09-02 00:00:00,Design,2015-02-05 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,13890,2
18,DSF: 0000755393,160623,102600,K003,FIRE ALARM,13,2014-03-12 00:00:00,2013-10-17 00:00:00,Design,2014-04-23 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,129408,1
19,"DSF: 0000798244, 0000798245",36252,83226,K003,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,13,2014-08-12 00:00:00,2014-07-02 00:00:00,Scope,2014-12-04 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,31977,1
20,DSF: 0000755393,43509,25650,K003,FIRE ALARM,13,2013-10-04 00:00:00,2013-07-31 00:00:00,Scope,2013-10-30 00:00:00,P.S. 3 - BROOKLYN,Complete,SCA CIP,43509,0
21,DSF:,38210,DOEL,K005,LEAD PAINT ABATEMENT,16,2015-02-12 00:00:00,2014-10-22 00:00:00,Construction,2015-02-12 00:00:00,P.S. 5 - BROOKLYN,Complete,DOE - Lead Paint,38210,3
22,DSF: 0000776641,274650,DIIT,K006,CLASSROOM CONNECTIVITY,17,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 6 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
23,DSF: 0000801233,43000,DOES,K006,FIRE ALARM PANEL REPLACEMENT,17,2017-05-02 15:32:05.469136,2015-04-29 00:00:00,Construction,DOES,P.S. 6 - BROOKLYN,In-Progress,DOE - Skilled Trades,0,3
24,DSF: 0000800371,101620,134684,K007,FY15 RESO A AUDITORIUM UPGRADE,19,2017-05-02 15:32:05.469136,2015-05-08 00:00:00,Construction,DOER,P.S. 7 - BROOKLYN,In-Progress,DOE- RESOA,101620,1
25,DSF: 0000798390,8442,83380,K008,ELECTRICAL LIGHTING FIXTURES,13,2015-09-20 00:00:00,2015-04-13 00:00:00,"CM, F&E",2015-11-08 00:00:00,P.S. 8 - BROOKLYN,Complete,RCT CIP,8442,1
26,DSF: 0000798390,410864,433955,K008,ELECTRICAL LIGHTING FIXTURES,13,2015-09-20 00:00:00,2015-04-13 00:00:00,Construction,2015-11-08 00:00:00,P.S. 8 - BROOKLYN,Complete,RCT CIP,344986,2
27,DSF: 0000798390,10633,32215,K008,ELECTRICAL LIGHTING FIXTURES,13,2015-01-07 00:00:00,2014-10-08 00:00:00,Design,2015-02-09 00:00:00,P.S. 8 - BROOKLYN,Complete,RCT CIP,10633,0
28,DSF: 0000798390,2026,11370,K008,ELECTRICAL LIGHTING FIXTURES,13,2014-10-08 00:00:00,2014-10-08 00:00:00,Scope,2014-10-08 00:00:00,P.S. 8 - BROOKLYN,Complete,RCT CIP,2026,0
30,DSF: 0000755468,248000,DOES,K009,ELEVATORS,13,2015-03-06 00:00:00,2014-01-17 00:00:00,Construction,2015-03-06 00:00:00,P.S. 9 - BROOKLYN,Complete,DOE - Skilled Trades,248000,3
31,DSF: 0000800447,150000,150000,K010,FY15 RESO A ELECTRICAL SYSTEMS,15,2017-05-02 15:32:05.469136,2015-03-09 00:00:00,Construction,DOER,P.S. 10 - BROOKLYN,In-Progress,DOE- RESOA,85309,1
32,DSF: 0000777393,217375,350000,K010,FY 14 RESO A AUDITORIUM,15,2017-05-02 15:32:05.469136,2015-05-06 00:00:00,Construction,DOER,P.S. 10 - BROOKLYN,In-Progress,DOE- RESOA,217375,2
33,DSF: 0000798801,141569,300000,K010,FY14 RESO A TOILETS - STUDENTS,15,2017-05-02 15:32:05.469136,2014-11-05 00:00:00,Construction,DOER,P.S. 10 - BROOKLYN,In-Progress,DOE- RESOA,0,2
34,DSF: 0000799679,27355,43233,K010,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-09-14 00:00:00,"CM, F&E",2016-03-11 00:00:00,P.S. 10 - BROOKLYN,In-Progress,RCT CIP,16326,0
35,DSF: 0000799679,215157,225010,K010,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-09-14 00:00:00,Construction,2016-03-11 00:00:00,P.S. 10 - BROOKLYN,In-Progress,RCT CIP,2607,2
36,DSF: 0000799679,27216,16704,K010,ELECTRICAL LIGHTING FIXTURES,15,2015-05-12 00:00:00,2014-11-03 00:00:00,Design,2015-03-09 00:00:00,P.S. 10 - BROOKLYN,Complete,RCT CIP,19347,0
37,DSF: 0000799679,6473,5895,K010,ELECTRICAL LIGHTING FIXTURES,15,2014-11-03 00:00:00,2014-10-10 00:00:00,Scope,2014-12-15 00:00:00,P.S. 10 - BROOKLYN,Complete,RCT CIP,6473,0
39,DSF: 0000799680,21562,23113,K011,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-05-11 00:00:00,"CM, F&E",2016-02-04 00:00:00,P.S. 11 - BROOKLYN,In-Progress,RCT CIP,21562,0
40,DSF: 0000799680,165138,120294,K011,ELECTRICAL LIGHTING FIXTURES,13,2017-05-02 15:32:05.469136,2015-05-11 00:00:00,Construction,2016-02-04 00:00:00,P.S. 11 - BROOKLYN,In-Progress,RCT CIP,3924,1
41,DSF: 0000799680,26112,8930,K011,ELECTRICAL LIGHTING FIXTURES,13,2015-01-20 00:00:00,2014-09-18 00:00:00,Design,2015-01-22 00:00:00,P.S. 11 - BROOKLYN,Complete,RCT CIP,22584,0
42,DSF: 0000799680,6299,3152,K011,ELECTRICAL LIGHTING FIXTURES,13,2014-09-17 00:00:00,2014-07-21 00:00:00,Scope,2014-09-19 00:00:00,P.S. 11 - BROOKLYN,Complete,RCT CIP,6299,0
43,DSF: 0000821900,34649,35000,K012,FY15 RESO A TECHNOLOGY UPGRADE,23,2017-05-02 15:32:05.469136,2015-06-30 00:00:00,Purch & Install,2015-07-30 00:00:00,I.S. 484 - BROOKLYN,In-Progress,DIIT - RESOA,34649,0
44,DSF: 0000821736,155239,155239,K012,FY 15 RESO A DANCE ROOM UPGRADE,23,2017-05-02 15:32:05.469136,2015-03-06 00:00:00,Construction,DOER,P.S. 12 - BROOKLYN,In-Progress,DOE- RESOA,34973,1
45,DSF: 0000821735,155239,155239,K012,FY 15 RESO A ROOM CONVERSION,23,2017-05-02 15:32:05.469136,2015-04-13 00:00:00,Construction,DOER,P.S. 12 - BROOKLYN,In-Progress,DOE- RESOA,11541,1
47,DSF: 0000776230,164632,DIIX,K013,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,19,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 13 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
48,DSF: 0000799681,4382,16148,K013,ELECTRICAL LIGHTING FIXTURES,19,2017-05-02 15:32:05.469136,2015-07-13 00:00:00,"CM, F&E",2016-04-07 00:00:00,P.S. 13 - BROOKLYN,In-Progress,RCT CIP,4382,0
49,DSF: 0000799681,98010,84043,K013,ELECTRICAL LIGHTING FIXTURES,19,2017-05-02 15:32:05.469136,2015-07-13 00:00:00,Construction,2016-04-07 00:00:00,P.S. 13 - BROOKLYN,In-Progress,RCT CIP,58503,1
50,DSF: 0000799681,20142,6239,K013,ELECTRICAL LIGHTING FIXTURES,19,2015-04-28 00:00:00,2014-08-18 00:00:00,Design,2014-12-18 00:00:00,P.S. 13 - BROOKLYN,Complete,RCT CIP,11769,0
51,DSF: 0000799681,6543,2202,K013,ELECTRICAL LIGHTING FIXTURES,19,2014-08-18 00:00:00,2014-07-15 00:00:00,Scope,2014-09-15 00:00:00,P.S. 13 - BROOKLYN,Complete,RCT CIP,6543,0
52,DSF: 0000776648,503315,DIIT,K014,CLASSROOM CONNECTIVITY,22,2015-11-24 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,I.S. 14 - BROOKLYN,Complete,DIIT - Project Conne,0,3
54,DSF: 0000798697,139421,136000,K014,FY14 RESO A AUDITORIUM UPGRADE,22,2015-08-12 00:00:00,2014-11-11 00:00:00,Construction,2015-07-15 00:00:00,I.S. 14 - BROOKLYN,Complete,DOE- RESOA,53915,1
55,DSF: 0000801388,79042,DOES,K014,TOILETS - STUDENTS,22,2017-05-02 15:32:05.469136,2015-09-17 00:00:00,Construction,DOES,I.S. 14 - BROOKLYN,In-Progress,DOE - Skilled Trades,4776,3
56,DSF: 0000821955,2655156,FTK,K014,ROOM CONVERSION,22,2015-08-31 00:00:00,2015-07-22 00:00:00,Construction,FTK,I.S. 14 - BROOKLYN,Complete,Fast Track Projects,2332868,3
60,"DSF: 0000778032, 0000798243",77474,77474,K014,PLANYC BOILER CONVERSION/PLANYC CLIMATE,22,2017-05-02 15:32:05.469136,2015-12-16 00:00:00,Scope,2016-05-18 00:00:00,I.S. 14 - BROOKLYN,In-Progress,SCA CIP,9,1
64,DSF: 0000800464,7566,0,K014,FY15 RESO A ROOM CONVERSIONS / PART,22,2015-05-13 00:00:00,2015-01-26 00:00:00,Scope,2015-05-26 00:00:00,I.S. 14 - BROOKLYN,Complete,SCA CIP RESOA,7566,0
65,DSF: 0000755596,597853,FTK,K015,SANDY - INSTALL TEMPORARY BOILERS,15,2017-05-02 15:32:05.469136,2013-09-06 00:00:00,Construction,FTK,P.S. 15 - BROOKLYN,In-Progress,Fast Track Projects,597853,3
66,DSF: 0000023480,388686,FTK,K015,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,15,2017-05-02 15:32:05.469136,2012-10-31 00:00:00,Construction,FTK,P.S. 15 - BROOKLYN,In-Progress,Fast Track Projects,257334,3
67,"DSF: 0000755590, 0000755592, 0000755595, 0000777695, 0000777696, 0000778072, 0000799892",246771,1547150,K015,SANDY:CLIMATE/INTERIOR/HEAT/ELEC/FLOOD/HVAC/PIPING,15,2017-05-02 15:32:05.469136,2014-08-04 00:00:00,"CM, F&E",2016-08-02 00:00:00,P.S. 15 - BROOKLYN,In-Progress,SCA CIP,245750,2
68,"DSF: 0000755590, 0000755592, 0000755595, 0000777695, 0000777696, 0000778072, 0000799892",16148488,18111227,K015,SANDY:CLIMATE/INTERIOR/HEAT/ELEC/FLOOD/HVAC/PIPING,15,2017-05-02 15:32:05.469136,2014-08-04 00:00:00,Construction,2016-08-02 00:00:00,P.S. 15 - BROOKLYN,In-Progress,SCA CIP,12199381,3
69,"DSF: 0000755590, 0000755592, 0000755595, 0000777695, 0000777696, 0000778072, 0000799892",575343,1132450,K015,SANDY:CLIMATE/INTERIOR/HEAT/ELEC/FLOOD/HVAC/PIPING,15,2014-05-16 00:00:00,2014-03-20 00:00:00,Design,2014-08-19 00:00:00,P.S. 15 - BROOKLYN,Complete,SCA CIP,520276,2
70,"DSF: 0000755590, 0000755592, 0000755595, 0000777695, 0000777696, 0000778072, 0000799892",223278,326975,K015,SANDY:CLIMATE/INTERIOR/HEAT/ELEC/FLOOD/HVAC/PIPING,15,2014-03-19 00:00:00,2013-10-21 00:00:00,Scope,2014-03-26 00:00:00,P.S. 15 - BROOKLYN,Complete,SCA CIP,189735,2
75,DSF: 0000776650,371881,DIIT,K016,CLASSROOM CONNECTIVITY,14,2015-10-19 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 16 - BROOKLYN,Complete,DIIT - Project Conne,0,3
76,DSF: 0000754612,209617,108605,K016,FY13 RESO A PLAYGROUND REDEVELOPMEN,14,2017-05-02 15:32:05.469136,2014-08-25 00:00:00,Construction,DOER,P.S. 16 - BROOKLYN,In-Progress,DOE- RESOA,209617,1
81,DSF: 0000778098,108654,DOES,K017,BATHROOM UPGRADE ROOMS 2110 AND 211,14,2017-05-02 15:32:05.469136,2015-09-02 00:00:00,Construction,DOES,I.S. 577 - BROOKLYN,In-Progress,DOE - Skilled Trades,88654,3
82,DSF: 0000799536,12249,9874,K017,ELECTRICAL LIGHTING FIXTURES,14,2015-12-09 00:00:00,2015-06-17 00:00:00,"CM, F&E",2015-12-14 00:00:00,P.S. 17 - BROOKLYN,Complete,RCT CIP,8795,0
83,DSF: 0000799536,66730,51388,K017,ELECTRICAL LIGHTING FIXTURES,14,2015-12-09 00:00:00,2015-06-17 00:00:00,Construction,2015-12-14 00:00:00,P.S. 17 - BROOKLYN,Complete,RCT CIP,3579,1
84,DSF: 0000799536,24865,3815,K017,ELECTRICAL LIGHTING FIXTURES,14,2015-05-06 00:00:00,2014-11-03 00:00:00,Design,2015-03-09 00:00:00,P.S. 17 - BROOKLYN,Complete,RCT CIP,13237,0
85,DSF: 0000799536,6240,1346,K017,ELECTRICAL LIGHTING FIXTURES,14,2014-11-03 00:00:00,2014-10-02 00:00:00,Scope,2014-12-05 00:00:00,P.S. 17 - BROOKLYN,Complete,RCT CIP,6240,0
88,"DSF: 0000755637, 0000778097",261907,364594,K017,BUILDING FAN REPLACEMENT/ELEC UPGRADE,14,2014-12-17 00:00:00,2014-01-29 00:00:00,Design,2014-06-30 00:00:00,P.S. 17 - BROOKLYN,Complete,SCA CIP,188874,2
89,"DSF: 0000755637, 0000778097",56173,97604,K017,BUILDING FAN REPLACEMENT/ELEC UPGRADE,14,2013-11-12 00:00:00,2013-06-24 00:00:00,Scope,2013-10-25 00:00:00,P.S. 17 - BROOKLYN,Complete,SCA CIP,56173,1
95,DSF: 0000776093,51347,DOES,K020,PLANYC OIL CONVERSION PROJECT,13,2015-06-11 00:00:00,2013-04-04 00:00:00,Construction,2015-06-11 00:00:00,P.S. 20 - BROOKLYN,Complete,DOE - Skilled Trades,48456,3
96,DSF: 0000822131,132320,DOES,K020,TOILETS - STUDENTS,13,2017-05-02 15:32:05.469136,2015-08-11 00:00:00,Construction,DOES,P.S. 20 - BROOKLYN,In-Progress,DOE - Skilled Trades,122320,3
97,DSF: 0000801519,65882,DOES,K021,BATHROOM UPGRADE,16,2017-05-02 15:32:05.469136,2015-12-09 00:00:00,Construction,DOES,P.S. 21 - BROOKLYN,In-Progress,DOE - Skilled Trades,612,3
101,DSF: 0000801513,2644,18629,K021,PUBLIC ADDRESS SYSTEM REPLACEMENT,16,2015-12-01 00:00:00,2015-07-31 00:00:00,Scope,2015-10-30 00:00:00,P.S. 21 - BROOKLYN,Complete,SCA CIP,2644,0
107,DSF: 0000732914,108022,118160,K022,HVAC/DDC SYSTEM,17,2015-08-24 00:00:00,2014-08-18 00:00:00,"CM, F&E",2015-08-17 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,95305,1
108,DSF: 0000755717,29543,14960,K022,FLOOD ELIMINATION,17,2015-07-14 00:00:00,2015-04-13 00:00:00,"CM, F&E",2015-10-09 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,22508,0
109,DSF: 0000755717,83196,77859,K022,FLOOD ELIMINATION,17,2015-07-14 00:00:00,2015-04-13 00:00:00,Construction,2015-10-09 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,66652,1
110,DSF: 0000732914,2001952,1899000,K022,HVAC/DDC SYSTEM,17,2015-08-24 00:00:00,2014-08-18 00:00:00,Construction,2015-08-17 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,1607693,2
111,DSF: 0000755717,62025,5780,K022,FLOOD ELIMINATION,17,2014-10-24 00:00:00,2014-05-21 00:00:00,Design,2014-10-22 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,60319,0
112,DSF: 0000732914,358584,101280,K022,HVAC/DDC SYSTEM,17,2014-03-19 00:00:00,2013-06-14 00:00:00,Design,2013-11-15 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,219816,1
113,DSF: 0000732914,64212,25320,K022,HVAC/DDC SYSTEM,17,2013-04-30 00:00:00,2012-07-17 00:00:00,Scope,2012-12-27 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,64212,0
114,DSF: 0000755717,37668,2040,K022,FLOOD ELIMINATION,17,2014-03-31 00:00:00,2013-10-15 00:00:00,Scope,2014-03-05 00:00:00,P.S. 22 - BROOKLYN,Complete,SCA CIP,33183,0
115,DSF: 0000776094,1008,DOES,K023,PLANYC OIL CONVERSION PROJECT,14,2015-02-04 00:00:00,2014-11-06 00:00:00,Construction,2015-02-04 00:00:00,P.S. 23 - BROOKLYN,Complete,DOE - Skilled Trades,1008,3
117,DSF: 0000776232,164632,DIIX,K024,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,15,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 24 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
118,DSF: 0000776662,137325,DIIT,K025,CLASSROOM CONNECTIVITY,16,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,I.S. 534 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
119,DSF: 0000798391,15301,191067,K025,ELECTRICAL LIGHTING FIXTURES,16,2015-08-15 00:00:00,2014-12-08 00:00:00,"CM, F&E",2015-09-03 00:00:00,P.S. 25 - BROOKLYN,Complete,RCT CIP,15301,1
120,DSF: 0000798391,913010,994415,K025,ELECTRICAL LIGHTING FIXTURES,16,2015-08-15 00:00:00,2014-12-08 00:00:00,Construction,2015-09-03 00:00:00,P.S. 25 - BROOKLYN,Complete,RCT CIP,890565,2
121,DSF: 0000798391,14319,73821,K025,ELECTRICAL LIGHTING FIXTURES,16,2014-07-16 00:00:00,2014-06-02 00:00:00,Design,2014-10-02 00:00:00,P.S. 25 - BROOKLYN,Complete,RCT CIP,14319,1
122,DSF: 0000798391,3855,26055,K025,ELECTRICAL LIGHTING FIXTURES,16,2014-06-02 00:00:00,2014-06-02 00:00:00,Scope,2014-06-02 00:00:00,P.S. 25 - BROOKLYN,Complete,RCT CIP,3855,0
123,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",86372,525834,K025,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,16,2017-05-02 15:32:05.469136,2014-08-25 00:00:00,"CM, F&E",2015-11-17 00:00:00,P.S. 25 - BROOKLYN,In-Progress,SCA CIP,86372,2
124,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",6377089,7095907,K025,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,16,2017-05-02 15:32:05.469136,2014-08-25 00:00:00,Construction,2015-11-17 00:00:00,P.S. 25 - BROOKLYN,In-Progress,SCA CIP,3060073,3
125,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",275300,392014,K025,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,16,2014-03-24 00:00:00,2013-10-31 00:00:00,Design,2014-04-07 00:00:00,P.S. 25 - BROOKLYN,Complete,SCA CIP,275300,2
126,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",143290,102962,K025,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,16,2013-10-22 00:00:00,2013-07-18 00:00:00,Scope,2013-12-04 00:00:00,P.S. 25 - BROOKLYN,Complete,SCA CIP,142674,1
127,DSF: 0000776665,DIIT,DIIT,K026,CLASSROOM CONNECTIVITY,16,2015-10-23 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,I.S. 393 - BROOKLYN,Complete,DIIT - Project Conne,0,3
130,"DSF: 0000801089, 0000801599",341878,341878,K026,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,16,2017-05-02 15:32:05.469136,2015-04-02 00:00:00,Design,2015-09-17 00:00:00,I.S. 393 - BROOKLYN,In-Progress,SCA CIP,118700,2
131,"DSF: 0000801089, 0000801599",103234,85470,K026,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,16,2015-03-09 00:00:00,2014-11-14 00:00:00,Scope,2015-04-03 00:00:00,I.S. 393 - BROOKLYN,Complete,SCA CIP,103234,1
134,DSF: 0000754751,99811,70500,K026,FY13 RESO A PLAYGROUND REDEVELOPMENT,16,2013-09-23 00:00:00,2013-06-07 00:00:00,Design,2013-10-23 00:00:00,P.S. 26 - BROOKLYN,Complete,SCA CIP RESOA,99811,1
135,DSF: 0000754751,30413,0,K026,FY13 RESO A PLAYGROUND REDEVELOPMENT,16,2013-05-22 00:00:00,2013-02-22 00:00:00,Scope,2013-05-22 00:00:00,P.S. 26 - BROOKLYN,Complete,SCA CIP RESOA,30413,0
137,DSF: 0000776666,DIIT,DIIT,K027,CLASSROOM CONNECTIVITY,15,2015-10-20 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,DIIT - Project Conne,0,3
138,DSF: 0000800522,34648,35000,K027,FY15 RESO A TECHNOLOGY,15,2015-07-07 00:00:00,2015-04-22 00:00:00,Purch & Install,2015-05-14 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,DIIT - RESOA,34648,0
139,DSF: 0000798393,32671,183700,K027,ELECTRICAL LIGHTING FIXTURES,15,2015-10-27 00:00:00,2015-02-17 00:00:00,"CM, F&E",2015-11-13 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,RCT CIP,32671,1
140,DSF: 0000798393,906077,956075,K027,ELECTRICAL LIGHTING FIXTURES,15,2015-10-27 00:00:00,2015-02-17 00:00:00,Construction,2015-11-13 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,RCT CIP,838204,2
141,DSF: 0000798393,10483,70975,K027,ELECTRICAL LIGHTING FIXTURES,15,2014-11-14 00:00:00,2014-08-22 00:00:00,Design,2014-12-22 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,RCT CIP,10483,1
142,DSF: 0000798393,6799,25050,K027,ELECTRICAL LIGHTING FIXTURES,15,2014-08-22 00:00:00,2014-08-22 00:00:00,Scope,2014-08-22 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,RCT CIP,6799,0
143,"DSF: 0000755805, 0000755806",258761,490031,K027,PARAPETS/EXT MASONRY,15,2017-05-02 15:32:05.469136,2014-10-20 00:00:00,"CM, F&E",2016-04-11 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,In-Progress,SCA CIP,258761,2
144,"DSF: 0000755805, 0000755806",7162784,7875506,K027,PARAPETS/EXT MASONRY,15,2017-05-02 15:32:05.469136,2014-10-20 00:00:00,Construction,2016-04-11 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,In-Progress,SCA CIP,4905070,3
145,"DSF: 0000755805, 0000755806",266428,420027,K027,PARAPETS/EXT MASONRY,15,2014-05-01 00:00:00,2013-11-08 00:00:00,Design,2014-04-15 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,SCA CIP,266428,2
146,"DSF: 0000755805, 0000755806",112451,105007,K027,PARAPETS/EXT MASONRY,15,2013-10-22 00:00:00,2013-08-06 00:00:00,Scope,2013-12-23 00:00:00,RED HOOK NEIGHBORHOOD SCHOOL,Complete,SCA CIP,105818,1
147,DSF: 0000776300,164632,DIIX,K028,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,16,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 28 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
148,DSF: 0000800523,34649,35000,K029,FY15 RESO A TECHNOLOGY,15,2015-08-06 00:00:00,2015-05-13 00:00:00,Purch & Install,2015-06-04 00:00:00,P.S. 29 - BROOKLYN,Complete,DIIT - RESOA,34649,0
